SMILES,truth,predictions
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,"OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,OCCOCCO,Clc1ccc(C(c2ccccc2)N2CCNCC2)cc1,O=C(O)C1OC(OCCOCCN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)C(O)C(O)C1O,OCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,OCCO,OCCOCCN1CCN(C(c2ccc(O)cc2)c2ccc(Cl)cc2)CC1,[O-][N+]1(CCOCCO)CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,[O-][N+]1(C(c2ccccc2)c2ccc(Cl)cc2)CCN(CCOCCO)CC1,O=C1CN(C(c2ccccc2)c2ccc(Cl)cc2)CCN1CCOCCO,O=C1CN(CCOCCO)CCN1C(c1ccccc1)c1ccc(Cl)cc1"
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,"CN1CCc2cccc3c2C1Cc1ccc(=O)c(=O)c13,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3,CN1CCc2cccc3c2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c1-3,Oc1ccc2c(c1O)-c1cccc3c1C(C2)NCC3,COc1c(O)ccc2c1-c1cccc3c1C(C2)N(C)CC3,CN1CCc2cccc3c2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1-3","CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,Oc1ccc2c(c1O)-c1cccc3c1C(C2)NCC3,CN1CCc2cccc3c2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1-3,CN1CCc2cccc3c2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c1-3,C[N+]1([O-])CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2C1Cc1ccc(OS(=O)(=O)O)c(O)c1-3,CN1CCc2cccc3c2C1Cc1ccc(O)c(OS(=O)(=O)O)c1-3,O=C(O)C1OC(Oc2ccc3c(c2O)-c2cccc4c2C(C3)NCC4)C(O)C(O)C1O,O=C(O)C1OC(Oc2c(O)ccc3c2-c2cccc4c2C(C3)NCC4)C(O)C(O)C1O,CN1CCc2cccc3c2C1C(O)c1ccc(O)c(O)c1-3,CN1CC(O)c2cccc3c2C1Cc1ccc(O)c(O)c1-3,CN1CCc2cc(O)cc3c2C1Cc1ccc(O)c(O)c1-3"
CCN(CC)CCOC(=O)c1ccc(N)cc1,"Nc1ccc(C(=O)O)cc1,CCN(CC)CCO","CCN(CC)CCOC(=O)c1ccc(N)cc1,Nc1ccc(C(=O)O)cc1,CCN(CC)CCO,CCN(CC)CCOC(=O)c1ccc(NC(C)=O)cc1,CCNCCOC(=O)c1ccc(N)cc1,CCNCC,Nc1ccc(C(=O)OCCO)cc1,Nc1ccc(C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)cc1,CC(=O)Nc1ccc(C(=O)O)cc1,CC[N+]([O-])(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CCOC(=O)c1ccc([N+](=O)[O-])cc1,CCN(CC)CCOC(=O)c1ccc(NC2OC(C(=O)O)C(O)C(O)C2O)cc1"
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O,"O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(C(=O)O)C(O)C(O)C1O,Nc1ccc(Cl)cc1C(=NC(O)C(=O)O)c1ccccc1,O=C1Nc2cc(O)c(Cl)cc2C(c2ccccc2)=NC1O,O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O,O=C1Nc2ccc(O)cc2C(c2ccccc2)=NC1O,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1O,O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1O,O=C(O)C1OC(N2C(=O)C(O)N=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O,NC(O)C(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1,CC(=O)Nc1ccc(Cl)cc1C(=NC(O)C(=O)O)c1ccccc1,COc1cc(C2=NC(O)C(=O)Nc3ccc(Cl)cc32)ccc1O"
CN[C@@H](C)[C@@H](O)c1ccccc1,CC(N)C(O)c1ccccc1,"CNC(C)C(O)c1ccccc1,CC(N)C(O)c1ccccc1,CNC(C)C(=O)c1ccccc1,CNC(C)C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1,CC(=O)NC(C)C(O)c1ccccc1,CNC(C)C(O)c1ccc(O)cc1,CC(N)C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1,CNC(C)C(O)c1ccc(O)c(OC)c1,CC(=O)N(C)C(C)C(O)c1ccccc1,CNC(C)C(OS(=O)(=O)O)c1ccccc1,CNC(C)=Cc1ccccc1,CNC(C)C(O)c1cccc(O)c1"
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,CCCCNc1ccc(C(=O)O)cc1,"CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,CCCCNc1ccc(C(=O)O)cc1,COCCOCCOCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(N)cc1,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(NCCC(C)O)cc1,COCCOCCOCCOCCOCCO,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCO)cc1,COCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCOCCOCCO,CCCCNc1ccc(C(=O)OCCOCCOCCO)cc1,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCO)cc1"
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CC1CC(N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,"CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CCNC1CC(C)S(=O)(=O)c2sc(S(=O)(=O)NC(C)=O)cc21,CCN=C1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CC1CC(N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,CCNC1CC(C)S(=O)(=O)C2=C1C=C(S(N)(=O)=O)S2=O,CCN=C1CC(C)S(=O)(=O)c2sc(S(=O)(=O)NC(C)=O)cc21,CC(=O)NS(=O)(=O)c1cc2c(s1)S(=O)(=O)C(C)CC2N,CC(=O)NC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CCNC1CC(C)S(=O)(=O)C2=C1C=C(S(=O)(=O)NC(C)=O)S2=O,CC1CC(NC2OC(C(=O)O)C(O)C(O)C2O)c2cc(S(N)(=O)=O)sc2S1(=O)=O"
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,"C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NOC5OC(C(=O)O)C(O)C(O)C5O)CCC4C3CCC21CC,C#CC1(O)CCC2C3CCC4=CC(=NOC5OC(C(=O)O)C(O)C(O)C5O)CCC4C3CCC21CC,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21C(C)O,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CCO,C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,C#CC1(OC(=O)CO)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,C#CC1(OC(C)=O)CCC2C3CC(O)C4=CC(=NO)CCC4C3CCC21CC,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)C(O)CC4C3CCC21CC,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC(=O)O,C#CC1(OC(C)=O)C(O)CC2C3CCC4=CC(=NO)CCC4C3CCC21CC"
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,"CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1,COc1ccc(CC(C)NCC(OC2OC(C(=O)O)C(O)C(O)C2O)c2ccc(O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(O)c2ccc(OS(=O)(=O)O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(O)c2ccc(O)c(N)c2)cc1,COc1ccc(CC(C)NCC(O)c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)c(NC=O)c2)cc1","COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(O)c2ccc(O)c(N)c2)cc1,CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1,COc1ccc(CC(C)NCC(O)c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(O)c2cc(NC=O)c(O)cc2O)cc1,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC(C)=O)c2)cc1,COc1ccc(CC(C)NCC(O)c2ccc(OS(=O)(=O)O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(=O)c2ccc(O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(O)c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)c(N)c2)cc1,COc1ccc(CC(C)NCC(OC2OC(C(=O)O)C(O)C(O)C2O)c2ccc(O)c(NC=O)c2)cc1,O=CNc1cc(C(O)CO)ccc1O,COc1ccc(CC(C)N)cc1"
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,"CNc1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CN(C)c1cc(O)c(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CNC1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(N(C)C)c4CC3CC12","CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CNc1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CNC1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(N(C)C)c4CC3CC12,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(=O)O)C(=O)C3(O)C(O)=C1C2=O,CN(C)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CN(C)c1ccc(O)c2c1CC1CC3C([N+](C)(C)[O-])C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CNc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CNC1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(OC5OC(C(=O)O)C(O)C(O)C5O)ccc(N(C)C)c4CC3CC12,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(O)C3(O)C(O)=C1C2=O,CN(C)c1ccc(OS(=O)(=O)O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)=C1C2=O,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(OC3OC(C(=O)O)C(O)C(O)C3O)C(O)=C1C2=O"
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,"CC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccc(O)cc1,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)c(O)c3)C(=O)N2C1C(=O)O,CC1(C)CN2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2S1,CC1(CO)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(N)c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3)C(=O)N2C1C(=O)O","CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(N)c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3)C(=O)N2C1C(=O)O,CC1(C)C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2S1=O,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,CC(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccc(O)cc1,CC1(C)SC2C(NC(=O)C(N)c3ccc(OS(=O)(=O)O)cc3)C(=O)N2C1C(=O)O,CC1(C)SC(C(NC(=O)C(N)c2ccc(O)cc2)C(=O)O)NC1C(=O)O,NC(C(=O)O)c1ccc(O)cc1,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,CC1(CO)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,CC1(C)C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3)C2S1=O,COc1ccc(C(N)C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1"
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,"CC(CN1c2ccccc2SC2C=CC(O)=CC21)N(C)C,CNC(C)CN1c2ccccc2Sc2ccccc21,CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C","CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CNC(C)CN1c2ccccc2Sc2ccccc21,CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C,CC(CN1c2ccccc2Sc2ccccc21)[N+](C)(C)[O-],CC(CN1c2ccccc2Sc2cc(O)ccc21)N(C)C,c1ccc2c(c1)Nc1ccccc1S2,CC(CO)N(C)C,CC(CN1c2ccccc2Sc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21)N(C)C,CC(CN1c2ccccc2Sc2cccc(O)c21)N(C)C,CC(CN1c2ccccc2Sc2cc(OS(=O)(=O)O)ccc21)N(C)C,CN(C)C(C)(O)CN1c2ccccc2Sc2ccccc21,CC(COC1OC(C(=O)O)C(O)C(O)C1O)N(C)C"
