SMILES,predictions
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CC[C@H]1Oc2ccccc2[C@H]1C(=O)c1ccc(O)c(Br)c1 CC[C@H]1Oc2ccc(O)cc2[C@@H]1C(=O)c1cc(Br)c(O)c(Br)c1 CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OS(=O)(=O)O)c(Br)c1 CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OC2OC(C(=O)O)C(O)C(O)C2O)c(Br)c1 CCC(O)C(C(=O)c1cc(Br)c(O)c(Br)c1)c1ccccc1O Oc1ccc(Br)c(O)c1 CC[C@H]1Oc2cc(O)ccc2[C@@H]1C(=O)c1cc(Br)c(O)c(Br)c1 CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1 CCC1Oc2ccccc2[C@]1(O)C(=O)c1cc(Br)c(O)c(Br)c1 Oc1cc(Br)c(O)c(Br)c1 CCC1Oc2ccc(O)cc2C1C(=O)c1cc(Br)c(O)c(Br)c1 CCC1Oc2ccccc2C1(O)C(=O)c1cc(Br)c(O)c(Br)c1 CC[C@H](O)[C@H](C(=O)c1cc(Br)c(O)c(Br)c1)c1ccccc1O CCC1Oc2ccccc2C1C(=O)c1ccc(O)c(Br)c1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)c(O)c3)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C)SC2C(N)C(=O)N2C1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N=C(O)CCC(N)C(=O)O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O C[C@@]1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(OS(=O)(=O)O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C(=O)O CC1(C)SC2C(NC(=O)[C@H](N)c3ccc(O)c(O)c3)C(=O)N2C1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O CC1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N=C(O)CC[C@H](N)C(=O)O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CN[C@@H](C)[C@H](O)c1ccccc1,C[C@@H]([C@@H](O)c1ccccc1)N(C)O CN[C@@H](C)C(=O)c1ccccc1 C[C@@H]([C@H](O)c1ccccc1)N(C)O CN[C@@H](C)[C@H](O[C@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1 C[C@H](N)[C@@H](O)c1ccccc1 CN[C@@H](C)[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1 CN[C@@H](C)[C@H](O)c1ccc(O)cc1 CN[C@@H](C)C(O)c1ccc(O)cc1 CN[C@H](C)Cc1ccccc1 C[C@H](N)[C@H](O)c1ccccc1 C[C@@H](NCO)[C@H](O)c1ccccc1 CC(NCO)C(O)c1ccccc1 CN[C@@H](C)Cc1ccccc1 O=C(O)c1ccccc1
CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,CC(=O)O[C@H](c1ccc([N+](=O)[O-])cc1)[C@@H](CO)NC(=O)C(Cl)Cl CC(=O)OC[C@H]1NC(=O)C(Cl)O[C@@H]1c1ccc([N+](=O)[O-])cc1 CC(=O)O[C@H](c1ccc([N+](=O)[O-])cc1)[C@H](CO)NC(=O)C(Cl)Cl O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)C(=O)c1ccc([N+](=O)[O-])cc1 CC(=O)OC[C@H](NC(=O)C(Cl)Cl)C(=O)c1ccc([N+](=O)[O-])cc1 O=C(N[C@H](CO)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1 O=C(N[C@@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1 CC(=O)OCC1NC(=O)C(Cl)OC1c1ccc([N+](=O)[O-])cc1 CC(=O)OC[C@@H](N)[C@H](O)c1ccc([N+](=O)[O-])cc1 CC(=O)OC[C@@H](N)[C@@H](O)c1ccc([N+](=O)[O-])cc1 O=C(N[C@H](CO)[C@@H](OS(=O)(=O)O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
O=P1(NCCCl)OCCC(O)N1CCCl,O=[P@]1(NCCCl)OCC=CN1CCCl O=P1(NCCCl)OCC=CN1CCCl NCCNP1(=O)OCCC(O)N1CCCl O=P(O)(O)OC1CCOP(=O)(NCCCl)N1CCCl NP1(=O)OCC[C@H](O)N1CCCl O=P1(NCCCl)NC(O)CCO1 O=C1CCOP(=O)(NCCCl)N1CCCl O=[P@@]1(NCCCl)OCCC(O)N1CCO O=C(O)C1OC(OC2CCOP(=O)(NCCCl)N2CCCl)C(O)C(O)C1O O=P1(NCCO)OCCC(O)N1CCCl O=[P@]1(NCCCl)NC(O)CCO1 NP1(=O)OCCC(O)N1CCCl O=P1(NCCCl)OCCC(O)N1CCO
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OS(=O)(=O)O C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2OS(=O)(=O)O C[C@@]12CCC[C@H]1[C@@H]1CCc3cc(O)ccc3[C@H]1CC2 C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O CC12CCC3c4ccc(O)cc4CCC3C1CCC2O C[C@@]12CCCC1C1CCc3cc(O)ccc3C1CC2 C[C@]12CCC3c4cc(O)c(OS(=O)(=O)O)cc4CCC3C1CC[C@@H]2OS(=O)(=O)O C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1C[C@H](O)[C@@H]2OS(=O)(=O)O C[C@]12CC[C@@H]3c4cc(O)c(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O
CNC[C@H](O)c1cccc(O)c1,O=C(O)C(O)c1cccc(O)c1 CNC[C@H](O)c1cccc(O)c1O CNC[C@H](O)c1cccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1 O=C(O)NC[C@H](O)c1cccc(O)c1 CNC[C@H](O)c1ccc(O)c(O)c1 C[C@H](O)c1cccc(O)c1 CNCC(O)c1ccc(O)c(O)c1 O=CC(O)c1cccc(O)c1 CNC[C@H](O)c1cccc(OS(=O)(=O)O)c1 NC[C@H](O)c1cccc(O)c1 NCC(O)c1cccc(O)c1 CNCC(O)c1cccc(O)c1O CC(=O)NC[C@H](O)c1cccc(O)c1 O=C[C@H](O)c1cccc(O)c1
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1 O=C(N[C@H](COP(=O)(O)O)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl O=Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1 N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 Nc1ccc([C@@H](O)[C@H](CO)NC(=O)C(Cl)Cl)cc1 N[C@@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(N[C@H](CO)[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl O=C(CCl)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)C(=O)O)cc1 O=Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)CCl)cc1 O=C(N[C@H](CO)[C@@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl O=C(NC(COP(=O)(O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(N)C(=O)c1cccc(Cl)c1 O=C(O)c1cccc(Cl)c1 C[C@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1 C[C@@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1 C[C@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1 C[C@@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1 C[C@H](NC(C)(C)C)[C@H](O)c1cccc(Cl)c1 C[C@@H](NC(C)(C)C)C(=O)c1cc(Cl)ccc1O CC(NC(C)(C)C)C(=O)O C[C@H](NC(C)(C)C)C(=O)c1cc(Cl)ccc1O C[C@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1 C[C@@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1 C[C@H](N)C(=O)c1cccc(Cl)c1 C[C@H](NC(C)(C)C)[C@@H](O)c1cccc(Cl)c1
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,C=CC[C@@]1(CC(C)C)C(=O)NC(=O)N(O)C1=O C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O C=CCC(CC(C)C)(C(=O)O)C(=O)NC(N)=O C=CCC1(CC(C)C(=O)O)C(=O)NC(=O)NC1=O C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O C=CC[C@@]1(CC(C)C)C(=O)NC(=O)N[C@@H]1O C=CCC(CC(C)C)(C(N)=O)C(=O)NC(N)=O C=CCC1(CC(C)C)C(=O)NC(=O)NC1O C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O C=CCC1(CC(C)C)C(=O)NC(=O)N(O)C1=O
C[C@H](N[P@@](=O)([O-])OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)[O-],N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O C[C@H](N)C(=O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O N#C[C@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O CC(=O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O N#C[C@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(OC2OC(C(=O)O)C(O)C(O)C2O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/OC5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/OC5OC(C(=O)O)C(O)C(O)C5O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3C[C@H](O)C4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=N)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@@H]4CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3C[C@@H](O)C4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)[O-])c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)[nH]c2cc(Br)c(OS(=O)(=O)[O-])c(CN(C)C)c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(C[N+](C)(C)[O-])c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CNC)c12 CCOC(=O)c1c(CSc2ccccc2)[nH]c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CN(C)Cc1c(O)c(Br)cc2c1c(C(=O)O)c(CS(=O)(=O)c1ccccc1)n2C CCOC(=O)c1c(C)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CN(C)Cc1c(OS(=O)(=O)O)c(Br)cc2c1c(C(=O)O)c(CS(=O)(=O)c1ccccc1)n2C CN(C)Cc1c(CS(=O)(=O)c2ccccc2)c(C(=O)O)c(CS(=O)(=O)c2ccccc2)n1C CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(C(O)S(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12
